 Jday Time  Duration Range(km)
  131 23:15    0      4.012
  131 23:16    1      3.878
  131 23:17    2      3.740
  131 23:18    3      3.596
  131 23:19    4      3.452
  131 23:20    5      3.303
  131 23:21    6      3.148
  131 23:22    7      2.993
  131 23:23    8      2.861
  131 23:24    9      2.706
  131 23:25   10      2.557
  131 23:26   11      2.408
  131 23:27   12      2.260
  131 23:29   14      1.956
  131 23:30   15      1.810
  131 23:31   16      1.666
  131 23:32   17      1.506
  131 23:33   18      1.356
  131 23:34   19      1.208
  131 23:35   20      1.061
  131 23:36   21      0.931
  131 23:37   22      0.790
  131 23:38   23      0.645
  131 23:39   24      0.545
  131 23:40   25      0.456
  131 23:41   26      0.422
  131 23:42   27      0.424
  131 23:43   28      0.466
  131 23:44   29      0.557
  131 23:45   30      0.653
  131 23:46   31      0.777
  131 23:47   32      0.908
  131 23:48   33      1.022
  131 23:49   34      1.161
  131 23:50   35      1.303
  131 23:51   36      1.444
  131 23:52   37      1.568
  131 23:53   38      1.711
  131 23:54   39      1.838
  131 23:55   40      1.984
  131 23:56   41      2.113
  131 23:57   42      2.261
  131 23:58   43      2.393
  131 23:59   44      2.543
  132 00:00   45      2.674
  132 00:01   46      2.825
  132 00:02   47      2.976
  132 00:03   48      3.126
  132 00:04   49      3.258
  132 00:05   50      3.409
  132 00:06   51      3.558
  132 00:07   52      3.690
  132 00:08   53      3.841
  132 00:09   54      3.992
  132 00:10   55      4.122
  132 00:11   56      4.273
  132 00:12   57      4.404
  132 00:13   58      4.555
  132 00:14   59      4.685
  132 00:15   60      4.835
  132 00:16   61      4.969
  132 00:17   62      5.120
  132 00:18   63      5.271
  132 00:19   64      5.385
  132 00:20   65      5.539
  132 00:21   66      5.674
  132 00:22   67      5.827
  132 00:23   68      5.981
  132 00:24   69      6.116
  132 00:25   70      6.267
  132 00:26   71      6.421
  132 00:27   72      6.573
  132 00:28   73      6.726
  132 00:29   74      6.878
  132 00:30   75      7.032
  132 00:31   76      7.186
  132 00:32   77      7.337
