 Jday Time  Duration Range(km)
  131 23:15    0      8.604
  131 23:16    1      8.459
  131 23:17    2      8.324
  131 23:18    3      8.175
  131 23:19    4      8.039
  131 23:20    5      7.888
  131 23:21    6      7.735
  131 23:22    7      7.582
  131 23:23    8      7.449
  131 23:24    9      7.297
  131 23:25   10      7.146
  131 23:26   11      6.995
  131 23:27   12      6.844
  131 23:29   14      6.526
  131 23:30   15      6.375
  131 23:31   16      6.225
  131 23:32   17      6.056
  131 23:33   18      5.904
  131 23:34   19      5.752
  131 23:35   20      5.600
  131 23:36   21      5.467
  131 23:37   22      5.316
  131 23:38   23      5.164
  131 23:39   24      5.033
  131 23:40   25      4.883
  131 23:41   26      4.734
  131 23:42   27      4.585
  131 23:43   28      4.473
  131 23:44   29      4.324
  131 23:45   30      4.194
  131 23:46   31      4.046
  131 23:47   32      3.897
  131 23:48   33      3.767
  131 23:49   34      3.618
  131 23:50   35      3.470
  131 23:51   36      3.321
  131 23:52   37      3.191
  131 23:53   38      3.044
  131 23:54   39      2.915
  131 23:55   40      2.770
  131 23:56   41      2.643
  131 23:57   42      2.500
  131 23:58   43      2.376
  131 23:59   44      2.236
  132 00:00   45      2.113
  132 00:01   46      1.977
  132 00:02   47      1.840
  132 00:03   48      1.706
  132 00:04   49      1.591
  132 00:05   50      1.464
  132 00:06   51      1.334
  132 00:07   52      1.232
  132 00:08   53      1.122
  132 00:09   54      1.022
  132 00:10   55      0.938
  132 00:11   56      0.867
  132 00:12   57      0.812
  132 00:13   58      0.785
  132 00:14   59      0.774
  132 00:15   60      0.785
  132 00:16   61      0.850
  132 00:17   62      0.922
  132 00:18   63      1.012
  132 00:19   64      1.096
  132 00:20   65      1.219
  132 00:21   66      1.337
  132 00:22   67      1.471
  132 00:23   68      1.609
  132 00:24   69      1.736
  132 00:25   70      1.869
  132 00:26   71      2.014
  132 00:27   72      2.151
  132 00:28   73      2.299
  132 00:29   74      2.439
  132 00:30   75      2.589
  132 00:31   76      2.739
  132 00:32   77      2.882
