 Jday Time  Duration Range(km)
  134 11:46    0      1.721
  134 11:47    1      1.612
  134 11:48    2      1.497
  134 11:49    3      1.385
  134 11:50    4      1.307
  134 11:51    5      1.230
  134 11:52    6      1.157
  134 11:53    7      1.108
  134 11:54    8      1.062
  134 11:56   10      1.038
  134 11:57   11      1.051
  134 11:58   12      1.062
  134 11:59   13      1.116
  134 12:00   14      1.182
  134 12:01   15      1.293
  134 12:02   16      1.398
  134 12:03   17      1.531
  134 12:04   18      1.642
  134 12:05   19      1.751
  134 12:06   20      1.884
  134 12:07   21      2.018
  134 12:08   22      2.152
  134 12:09   23      2.311
  134 12:10   24      2.446
  134 12:11   25      2.581
  134 12:12   26      2.741
  134 12:13   27      2.877
  134 12:14   28      3.013
  134 12:15   29      3.158
  134 12:16   30      3.311
  134 12:17   31      3.440
  134 12:18   32      3.579
  134 12:19   33      3.726
  134 12:20   34      3.850
  134 12:21   35      3.998
  134 12:22   36      4.139
  134 12:23   37      4.270
  134 12:24   38      4.419
  134 12:25   39      4.567
  134 12:26   40      4.681
  134 12:27   41      4.779
  134 12:28   42      4.846
  134 12:29   43      4.882
  134 12:30   44      4.935
  134 12:31   45      5.021
  134 12:32   46      5.132
  134 12:33   47      5.254
  134 12:34   48      5.399
  134 12:35   49      5.532
  134 12:36   50      5.662
  134 12:37   51      5.778
  134 12:38   52      5.868
  134 12:39   53      5.912
  134 12:40   54      5.919
  134 12:41   55      5.873
  134 12:42   56      5.790
  134 12:43   57      5.640
  134 12:44   58      5.485
  134 12:45   59      5.330
  134 12:46   60      5.169
  134 12:47   61      4.997
  134 12:48   62      4.848
  134 12:49   63      4.676
  134 12:50   64      4.521
  134 12:51   65      4.349
  134 12:52   66      4.194
